,titolo,autore,descrizione
0,The Road of Azrael,Robert E. Howard,"The Road of Azrael is a collection of historical short stories by Robert E. Howard.  It was first published in 1979 by Donald M. Grant, Publisher, Inc. in an edition of 2,150 copies, of which, 300 were boxed and signed by the artist. 
 
 "
1,This Publican,Dornford Yates,"
 The dreadful Rowena has married the serious-minded and naive young barrister David Bohun. She treats him abominably, and is at the end of the book unmasked as an imposter and murderer who has used Bohun as a stepping stone to better things. 
 
 "
2,"The Wide, Wide World",Susan Warner," 
 The Wide, Wide World is a work of sentimentalism about the life of young Ellen Montgomery. The story begins with Ellen's happy life being disrupted by the fact that her mother is very ill and her father must take her to Europe, requiring Ellen to leave home to live with an almost-unknown aunt. Though Ellen tries to act strong for her mother's sake, she is devastated and can find solace in nothing. 
 
 Eventually the day comes when Ellen must say goodbye to her mother and travel in the company of strangers to her aunt's home. Unfortunately these strangers are unkind to Ellen and she tries to leave the boat on which they are traveling. An old man sees Ellen crying and tells her to trust in God. He teaches her about being a Christian, as her mother had done, and asks her if she is ready to give her heart to Jesus. After talking with the man, Ellen becomes determined to become a true Christian, which gives her strength for the rest of the journey to her aunt's place in Thirwall. 
 
 On Ellen's first night in Thirwall, she learns that her father forgot to inform her aunt that she was coming, so a  "" Mr. Van Brunt ""  escorts her to her aunt's home. This aunt, Fortune Emerson, proves to be quite different from Ellen's loving mother: she treats Ellen unkindly and refuses to let her attend school. Ellen hates living with Fortune and comes to find comfort in the society of Mr. Van Brunt and other neighbors as she becomes more familiar with her new surroundings. 
 
 One day, discovering that her aunt withheld a letter from Mrs. Montgomery, Ellen runs crying into the woods. There she meets Alice Humphreys, the daughter of a local minister. Alice is kind to Ellen and invites her to tea the next day, to give Ellen a chance to tell her troubles; maybe Alice would be able to help. The girls become fast friends and Alice adopts Ellen as a sister, offering to educate her and guide her spiritually, teaching her to forgive others and trust in the Lord. 
 
 Alice and her brother John, who is away at school much of the time, treat Ellen like family, even inviting her to spend Christmas in the nearby town of Ventnor with them and their friends, the Marshmans. While there, Ellen meets another Ellen, Ellen Chauncey. She also gets better acquainted with John Humphreys, who comforts her many times after the other children tease her. Ellen comes to realize that if she hadn't needed to be separated from her mother, she might never have met Alice and John. 
 
 About a year later, one day when Ellen visits town, she overhears from some ladies' conversation that her mother has died. Devastated, she turns to Alice and her Bible for comfort. She stays with Alice and John until Aunt Fortune becomes ill and Ellen must look after her. Eventually Aunt Fortune recovers and Ellen returns to Alice and her other friends. 
 
 After Mr. Van Brunt's mother dies, he decides to marry Aunt Fortune; soon after, Alice tells Ellen that she is very ill and will soon be  "" going home ""  to Heaven; Ellen is not to grieve for her but to trust in God. She also invites Ellen to take her place in the Humphreys household. Ellen immediately moves in and begins by nursing Alice through her final weeks. After Alice dies, Ellen turns to John for guidance. He takes over as her tutor, spiritual advisor, and guiding light. By the time a Humphreys relative dies in England and John must travel overseas to handle the family's business, Ellen (though sad to see him go) is a stronger person. 
 
 One day Nancy visits Ellen, bringing letters she has found while cleaning Fortune's house. They are for Ellen from her mother and express the wish that Ellen go live with relatives in Scotland; after sharing the letters with Mr. Humphreys,  Ellen decides she must honor her parents' wishes so the Humphreys send her to Scotland to live with the Lindsays: her grandmother and uncle Lindsay and Lady Keith. They welcome her into their home and find her delightful, but they become very possessive of her and force her to denounce her identity as an American and as a Montgomery. Mr. Lindsay even makes Ellen call him “father” and refers to her as his “own little daughter.” The Lindsays also discourage Ellen's faith, as they don't see religion as being important to someone Ellen's age. Ellen finds it hard to live without her daily hours set aside for studying religion, but still tries hard to live by her faith and everything that John and Alice taught her. 
 
 Ellen misses John more than anything, and during a New Year's Eve party at the Lindsays', he shows up asking for her. The Lindsays try to keep them apart, but they are unsuccessful. During their emotional reunion John reminds Ellen to keep her faith; in a few years, when she will be able to choose where she lives, she can return to America and live with him. When Ellen introduces John to the Lindsays, they actually become fond of him. John must soon return to America, but not without promising Ellen that they will be together forever soon. In an unpublished chapter at the end of the book, Ellen returns to America as Mrs. John Humphreys. 
 
 "
3,Altri Libertini,Pier Vittorio Tondelli,"{{Infobox book |  < !-- See [[Wikipedia:Wiki 
 Altri Libertini is the first book by the Italian writer, Pier Vittorio Tondelli. 
 
 It was published in 1980 by Feltrinelli and features a collection of six stories which are loosely related to one another:  Postoristoro, Mimi e istrioni, Viaggio, Senso contrario, Altri libertini, and Autobahn. The stories present the lives and exploits of young men and women caught up in the 1980s, and Tondelli, through his writings, depicts their dreams, pains, emotional outbursts, ingenuity and, at times, their irreparable mistakes. < ref > Altri Libertini – Pier Vittorio Tondelli – Recensione < !-- Bot generated title -- >  < /ref > 
 
 The book received considerable attention upon publication and was censored by the authorities for obscenities only twenty days after its appearance in bookstores in Italy as it was being prepared for its third edition. < ref name= "" tondelli.comune.correggio.re.it "" > Centro di Documentazione Pier Vittorio Tondelli – Correggio – Pier Vittorio Tondelli – Altri libertini < !-- Bot generated title -- >  < /ref > 
 
 While the book is a series of short stories, the author preferred to describe the work as a romanzo a episodi (serial novel), < ref name= "" tondelli.comune.correggio.re.it "" / >  in order to emphasise the thread that connected all of the stories to each other. 
 
 "
4,Tilt-a-Whirl (novel),Thriller (genre),"Tilt-a-Whirl is a book written by Chris Grabenstein < ref >  < /ref > < ref >  < /ref >  and published by Carroll  &  Graf < ref >  < /ref > < ref >  < /ref >  on 20 September 2005, which later went on to win the Anthony Award for Best First Mystery in 2006. < ref >  < /ref > 
 
 "
5,Memoirs: 1939–1993,Brian Mulroney,"Memoirs: 1939–1993  < ref >  < /ref >  is a memoir written by the former Prime Minister of Canada Brian Mulroney.  The book was released on September 10, 2007 and outlines Mulroney's version of events during his early life, political career and time as prime minister. 
 
 "
6,Walking Shadow,Detective fiction," 
 The story follows Boston-based PI Spenser as he tries to solve the on-stage murder of an actor in the run-down town of Port City.  While investigating the crime, he runs afoul of the local Chinese mob and uncovers a web of infidelity, organized crime, and psychologically unstable actors. 
 
 "
7,The Werewolf of Ponkert,H. Warner Munn,"The Werewolf of Ponkert is a collection of two horror short stories by H. Warner Munn.  It was published in book form with its sequel in 1958 by The Grandon Company in an edition of 500 copies.  The edition was reissued as a hardback book by Centaur Books of New York in 1971, and as a paperback edition in 1976. 
 
 The first story,  "" The Werewolf of Ponkert ""  arose from a comment by H.P. Lovecraft suggesting a story written from the werewolf's point of view. < ref > Don Herron,  "" Munn,H(arold) Warner "" , in Jack Sullivan, The Penguin Encyclopedia of Horror and the Supernatural New York, Viking, 1986, (p. 296).  < /ref > 
 
 The stories, from Munn's Tales of the Werewolf Clan series (collected in book form, 2 vols., 1979), first appeared in the magazine Weird Tales. The first story was originally published in Weird Tales magazine, Vol. 6, No. 1, Issue 22, July 1925.  The sequel,  "" The Werewolf's Daughter ""  (in abridged form) was published in Weird Tales, Vol. 12, No. 4, No. 5  &  No. 6 (Issues 61, 62  &  63) in October 1928, November 1928  &  December 1928. 
 
 "
8,Boyracers,Polygon Books,"Boyracers is the debut novel of Scottish writer Alan Bissett. It was first published in 2001 by Edinburgh-based Polygon Books. The plot concerns four male teenagers growing up in the town of Falkirk, exploring the influences of popular culture, global capitalism and social class on the lives of young people in contemporary Scotland. 
 
 A tenth anniversary edition was produced in 2011. The same year, Bissett announced that he had finished work on a sequel entitled The Pack Men. < ref name=review/ > < ref >  < /ref > 
 
 "
9,Oracle Night,Faber  &  Faber,"Oracle Night is a 2003 novel by American author Paul Auster. 
 
 The novel is about a writer named Sidney Orr (a short, Americanized version of the Polish surname Orlovsky), who, after making a miraculous recovery from near fatal illness, buys a new notebook and starts writing a story about a man who completely changed his life when he realised how much his existence was ruled by randomness. 
 
 The base premises for the book is this, Sidney Orr trying to come back to his life and begin writing again, but a lot of things happen in his life at the same time, and the reader gets introduced not only to Sidney's work and personal life, but also in some extent to the life of the person in his work-in-progress novel. Before the end of this period in Sidney's life, events will take place that are truly life-altering, and Sidney will, much like the fictional character he writes of, have to deal with issues and questions he has previously (perhaps unconsciously) been avoiding for several years. 
 
 "
10,Outrage: The Five Reasons Why O. J. Simpson Got Away with Murder,W. W. Norton  &  Company,"Outrage: The Five Reasons Why O. J. Simpson Got Away with Murder is a true crime book by Vincent Bugliosi published in 1996. < ref >  < /ref >  Bugliosi sets forth five main reasons why the Los Angeles County District Attorney's office failed to successfully convict O. J. Simpson for the murders of Nicole Brown Simpson and Ronald Goldman. Personally convinced of Simpson's guilt, Bugliosi blames his acquittal on the district attorney, the judge, and especially the prosecuting attorneys Marcia Clark and Christopher Darden. 
 
 "
11,Beau Sabreur (novel),P. C. Wren," 
 It focuses on the adventures of Major Henri de Beaujolais from adolescence to maturity as a well-connected cavalry officer in the French Army: he's an Old Etonian; his mother a Devonshire Cary; his deceased father a Frenchman; his paternal uncle the youngest General in the French Army and married to the sister of the French Minister of State for War. Starting as a one-year volunteer trooper in a hussar regiment, De Beaujolais graduates from the Cavalry School of Saumur to become an officer of Spahis and a member of the French Secret Service. He appears in Wren's Beau Geste, commanding the relief column which reaches the besieged Fort Zinderneuf. 
 
 "
12,Book of Artifacts,"TSR, Inc.","The Book of Artifacts (abbreviated as BoA < ref name= "" D & Dfaq "" >  < /ref > ) is a supplemental sourcebook to the core rules of the second edition of the Advanced Dungeons  &  Dragons fantasy role-playing game.  This book, published by TSR, Inc. in 1993, details 50 different artifacts, special magic items found within the game at the Dungeon Master's option. The book was designed primarily by David  "" Zeb ""  Cook, with some additional design by Rich Baker, Wolfgang Baur, Steve and Glenda Burns, Bill Connors, Dale  "" Slade ""  Henson, Colin McComb, Thomas M. Reid, and David Wise. Cover art is by Fred Fields and interior art and icons were designed by Daniel Frazier. 
 
 "
13,Dovey Coe,Edgar Award," 
 12-year-old Dovey Coe narrates the story trying to  "" lay the record straight ""  about her sister's suitor's death. The first two-thirds of the book recount the relationship between Dovey's sister, Caroline, and her suitor, Parnell. She offers her own viewpoint about each character including Dovey's parents and her brother, Amos, who is deaf. The last third of the novel is centered in the courtroom as the murder trial takes place. < ref name= "" Publishers Weekly "" >  < /ref > 
 
 "
14,The Turtles of Venezuela,English language,"The Turtles of Venezuela is an identification guide of the Testudines families that are found in Venezuela, written by zoologist Pedro Trebbau and herpetologist Peter Pritchard. < ref >  < /ref >  It was originally published in English in 1984, by the Society for the Study of Amphibians and Reptiles as the Number 2 of the series Contributions to herpetology. < ref >  < /ref > 
 
 In 2016 was published the Spanish version by Oscar Todtmann Editores, with more than 130 pictures and illustrations, a presentation by Ph.D. Carlos Rivero Blanco and a prologue by Ph.D. Vivian Pérez. < ref >  < /ref > 
 
 A new edition was presented in 2018 by Editorial La Fauna, in Madrid, Spain. It features a dedication to conservationist Saúl Gutiérrez Eijuri (1960-2012), and essays by Jorge Carrillo and Marcelo Sánchez-Villagra, about turtles in the Venezuelan fossil record. 
 
 At the website of Editorial La Fauna publishing, we can find this review: 
 
 : 
 
 "
15,Ashwattha,Gujarati language,"Ashwattha (Gujarati: અશ્વત્થ) is a collection of poems written by Natwarlal Kuberdas Pandya, also known as Ushnas, in Gujarati. The book won the Sahitya Akademi Award for Gujarati in 1976. It is considered Ushnas's finest work in Gujarati. < ref >  < /ref > 
 
 "
16,Internet and Technology Law Desk Reference,Aspen Publishers,"Internet and Technology Law Desk Reference is a non-fiction book about information technology law, written by Michael Dennis Scott. The book uses wording from legal cases to define information technology jargon, and gives citations to individual lawsuits. Scott received his B.S. degree from Massachusetts Institute of Technology and graduated with a J.D. from the University of California, Los Angeles. He has taught as a law professor at Southwestern Law School. The book was published by Aspen Law and Business in 1999. Multiple subsequent editions were published under the imprint Aspen Publishers. Internet and Technology Law Desk Reference was recommended by the Cyberlaw Research Resources Guide at the James E. Rogers College of Law, and has been used as a reference in law journals including University of Pennsylvania Journal of International Economic Law, and Berkeley Technology Law Journal. 
 
 "
17,100 Great Welsh Women,Terry Breverton,"100 Great Welsh Women is a collection of short biographies of prominent women from Wales, or of Welsh origin, published in 2001 by Terry Breverton. 
 It covers women from all walks of life, including athletes, actresses, saints, singers and queens. 
 
 "
18,Solacers,eBook,"Solacers is a 2012 memoir < ref name= "" STANFORD "" >  < /ref >  written by Iranian-American < ref >  < /ref >  author . < ref >  < /ref >  The book is a first-person narrative about an abandoned boy growing up on the streets in 1960s Iran, before the Iranian Revolution of 1979. < ref >  < /ref > 
 
 "
19,The Tiger Who Came to Tea,"William Collins, Sons"," 
 
 A little girl named Sophie is having tea with her mother in their kitchen, when she hears the doorbell ring. Soon, Sophie and her mother are joined for tea by a kind tiger who drinks all the tea before eating all the food in the house and then drinking everything, even draining all the water from the taps. After the tiger leaves, Sophie's father comes home from work and suggests that they all go out and have a lovely meal in a cafe. The following day, Sophie and her mother go out to buy some more food, including a big tin of tiger food. Despite the tin of tiger food being requested by Sophie, the tiger never returns (hence the tiger plays a trumpet with the word  "" Goodbye ""  coming out of the end of it). 
 
 "
20,"The Life of Sir William Petty, 1623–1687",John Murray (publishing house),"The Life of Sir William Petty 1623-1687 is a book, written by Lord Edmond Fitzmaurice, and published in 1895.  It is a biography of Sir William Petty, the 17th-century scientist, known for his inventions, his charting of large parts of Ireland, in the Down Survey, and his publications on many different topics, like  "" political arithmetic ""  and political economy. 
 
 "
21,"The United States and Right-wing Dictatorships, 1965-1989",Cambridge University Press,"The United States and Right-wing Dictatorships, 1965-1989 is a 2006 book by David F. Schmitz. In the United Kingdom it was published by Cambridge University Press. < ref name= "" Cambridge University Press - Academic - The United States and Right-Wing Dictatorships, 1965-1989 "" >  < /ref > 
 
 "
22,Meccania,Speculative fiction,"Meccania: The Super-State is a dystopian novel by Owen Gregory, first published in 1918. < ref > Owen Gregory, Meccania: The Super-State, London, Methuen, 1918. < /ref > 
 
 Most of the book describes the fictional country of  "" Meccania, ""  a nation in Central Europe with obvious resemblances to Germany: < ref > Alberto Manguel and Gianni Guadalupi, The Dictionary of Imaginary Places, expanded edition, Harcourt Brace Jovanovich, 1987; pp. 233-7. < /ref >  Meccania is surrounded by  "" Francaria ""  (France),  "" Luniland ""  (Britain), "" Lugrabia ""  (Austria) and Idiotica (Russia). Meccania is a place where dissenters are sent to mental hospitals and concentration camps. The state maintains a eugenic breeding program, and commands its common citizens when to have children. All letters are censored, and all telephone conversations are monitored. All citizens wear the uniforms of their occupational classes. Among the very complex regulations of the Super-State are those regarding control of worker fatigue: if a given worker's calculated fatigue level is below average, he must work more hours until he is as tired as his compatriots. 
 
 The novel's frame story is set in the future (from the novel's perspective) year 1970. A young Chinese traveler named Ming Yuen-hwuy enters Meccania for a five-month stay. Ming's diary and notes describe his dreary and dehumanizing sojourn in a country where the militaristic government dominates social life. Meccania, a place of  "" perpetual propaganda..., ""  presents the visitor with  "" an odd mixture of arrogance, xenophobia, over-punctiliousness, over-organization, chauvinism, and rigidity.... "" < ref name=autogenerated1 > Everett F. Bleiler with Richard Bleiler, Science-Fiction: The Early Years, Kent, OH, Kent State University Press, 1990; p. 301. < /ref >  Ming is constantly observed by official guides. Ming provokes his state minders when he tries to find a newspaper; he gets into more trouble when the personal record he is required to keep does not match the records of his guides with perfect exactness. 
 
 Ming also learns the history of Meccania  & mdash; how  "" Bludiron ""  (Otto von Bismarck) organized the nation to resist the socialism of  "" Spotts ""  (a pun on the surname of Karl Marx). 
 
 "
23,Flyy Girl,Young adult literature,"Flyy Girl is young adult/new adult literature and an urban fiction book written by Omar Tyree. The book was originally published by Mars Productions in 1993 and republished by Simon  &  Schuster for adults in 1996. < ref >  < /ref >  The novel is regarded to be the genesis of the modern urban-fiction/street-lit movement that would later gain momentum in 1999 with the publication of Sister Souljah's The Coldest Winter Ever. 
 
 "
24,Cryoburn,Vorkosigan Saga,"Cryoburn is a science fiction novel by American writer Lois McMaster Bujold, first published in October 2010. < ref name= "" cryoamazon "" >  < /ref >  Part of the Vorkosigan Saga, it was nominated for the Hugo Award for Best Novel in 2011, < ref name= "" Hugo11 "" > Renovation Hugo nominee announcement  < /ref >  as Bujold's ninth Best Novel nomination. < ref name= "" Bujold Hugo post "" >  < /ref >  Also in 2011, it was one of the top five finishers in the poll for the Locus Award for Best Science Fiction Novel. < ref name= "" Locus11 "" > Locus Online News – 2011 Locus Award Finalists < /ref > 
 
 "
25,Chainfire,The Sword of Truth,"Chainfire is the ninth book in Terry Goodkind's epic fantasy series The Sword of Truth, and the first in a trilogy. It was nominated for the Prometheus Award. 
 
 "
26,The Total Woman,Marabel Morgan,"The Total Woman is a self-help book for married women by Marabel Morgan published in 1973. The book sold over 500,000 copies within the first year, making it the most successful non-fiction book in the USA in 1974. < ref > Publishers Weekly < /ref >  Overall, it sold more than ten million copies. < ref >  < /ref >  Grounded in evangelical Christianity, it taught that  "" A Total Woman caters to her man's special quirks, whether it be in salads, sex or sports, "" < ref >  < /ref >  and is perhaps best remembered for instructing wives to greet their man at the front door wearing sexy outfits; suggestions included  "" a cowgirl or a showgirl. ""   "" It's only when a woman surrenders her life to her husband, reveres and worships him and is willing to serve him, that she becomes really beautiful to him, ""  Morgan wrote. 
 
 "
27,Trent's Last Case,detective fiction,"Trent's Last Case is a detective novel written by E. C. Bentley and first published in 1913. Its central character, the artist and amateur detective Philip Trent, reappeared subsequently in the novel Trent's Own Case (1936), and the short-story collection Trent Intervenes (1938). < ref >  < /ref > 
 
 Trent's Last Case is actually the first novel Philip Trent appears in, and is a whodunit with a place in detective fiction history because it is the first major send-up of that genre. Not only does Trent fall in love with one of the primary suspects – usually considered off-limits – he also, after painstakingly collecting all the evidence, draws all the wrong conclusions. 
 
 The novel was published as The Woman in Black in the United States, later in 1913. 
 
 "
28,Anarchism (Miller book),J. M. Dent,"Anarchism is a book-length survey of anarchism written by David Miller and published by J. M. Dent in 1984. 
 < !-- 
 "
